STEP: 1; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=8]
STEP: 72; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=2]
STEP: 73; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=2]
STEP: 74; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=1]
STEP: 75; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=2]
STEP: 76; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=1]
STEP: 77; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=1]
STEP: 78; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=1]
STEP: 79; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=2]
STEP: 80; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=3]
STEP: 81; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=3]
STEP: 82; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=4]
STEP: 83; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=3]
STEP: 84; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=2]
STEP: 85; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=3]
STEP: 86; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=4]
STEP: 87; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=3]
STEP: 88; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=2]
STEP: 89; EVENT: position;UNIT: 1; POSITION: Coordinate[x=6, y=2]
STEP: 90; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=2]
STEP: 91; EVENT: position;UNIT: 1; POSITION: Coordinate[x=6, y=2]
STEP: 92; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=2]
STEP: 93; EVENT: position;UNIT: 1; POSITION: Coordinate[x=6, y=2]
STEP: 94; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=2]
STEP: 95; EVENT: position;UNIT: 1; POSITION: Coordinate[x=4, y=2]
STEP: 96; EVENT: position;UNIT: 1; POSITION: Coordinate[x=3, y=2]
STEP: 97; EVENT: position;UNIT: 1; POSITION: Coordinate[x=3, y=3]
STEP: 98; EVENT: position;UNIT: 1; POSITION: Coordinate[x=3, y=2]
STEP: 99; EVENT: position;UNIT: 1; POSITION: Coordinate[x=4, y=2]
STEP: 100; EVENT: position;UNIT: 1; POSITION: Coordinate[x=4, y=3]
STEP: 101; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=3]
STEP: 102; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=4]
STEP: 103; EVENT: position;UNIT: 1; POSITION: Coordinate[x=4, y=4]
STEP: 104; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=4]
STEP: 105; EVENT: position;UNIT: 1; POSITION: Coordinate[x=4, y=4]
STEP: 106; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=4]
STEP: 107; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=5]
STEP: 108; EVENT: position;UNIT: 1; POSITION: Coordinate[x=5, y=4]
STEP: 109; EVENT: position;UNIT: 1; POSITION: Coordinate[x=6, y=4]
STEP: 110; EVENT: position;UNIT: 1; POSITION: Coordinate[x=6, y=5]
STEP: 111; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=5]
STEP: 112; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=5]
STEP: 113; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=4]
STEP: 114; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=4]
STEP: 115; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=4]
STEP: 116; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=3]
STEP: 117; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=2]
STEP: 118; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=3]
STEP: 119; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=3]
STEP: 120; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=4]
STEP: 121; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 122; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=5]
STEP: 123; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 124; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 125; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 126; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=5]
STEP: 127; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 128; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=5]
STEP: 129; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=5]
STEP: 130; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=5]
STEP: 131; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=6]
STEP: 132; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=6]
STEP: 133; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=7]
STEP: 134; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=7]
STEP: 135; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=8]
STEP: 136; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=8]
STEP: 137; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 138; EVENT: position;UNIT: 1; POSITION: Coordinate[x=7, y=8]
STEP: 139; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 140; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=8]
STEP: 141; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 142; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=9]
STEP: 143; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 144; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=7]
STEP: 145; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 146; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=9]
STEP: 147; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=8]
STEP: 148; EVENT: position;UNIT: 1; POSITION: Coordinate[x=8, y=7]
STEP: 149; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=7]
STEP: 150; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=8]
STEP: 151; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=8]
STEP: 152; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=9]
STEP: 153; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=9]
STEP: 154; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=8]
STEP: 155; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=8]
STEP: 156; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=9]
STEP: 157; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=8]
STEP: 158; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=8]
STEP: 159; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=8]
STEP: 160; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=7]
STEP: 161; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=7]
STEP: 162; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=7]
STEP: 163; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=8]
STEP: 164; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=7]
STEP: 165; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=6]
STEP: 166; EVENT: position;UNIT: 1; POSITION: Coordinate[x=17, y=6]
STEP: 167; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=6]
STEP: 168; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=5]
STEP: 169; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=4]
STEP: 170; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=4]
STEP: 171; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=4]
STEP: 172; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=3]
STEP: 173; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=3]
STEP: 174; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=3]
STEP: 175; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=3]
STEP: 176; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=2]
STEP: 177; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=3]
STEP: 178; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=2]
STEP: 179; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=2]
STEP: 180; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=3]
STEP: 181; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=4]
STEP: 182; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=5]
STEP: 183; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=5]
STEP: 184; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=5]
STEP: 185; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=4]
STEP: 186; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=5]
STEP: 187; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=4]
STEP: 188; EVENT: position;UNIT: 1; POSITION: Coordinate[x=15, y=4]
STEP: 189; EVENT: position;UNIT: 1; POSITION: Coordinate[x=16, y=4]
STEP: 190; EVENT: position;UNIT: 1; POSITION: Coordinate[x=17, y=4]
STEP: 191; EVENT: position;UNIT: 1; POSITION: Coordinate[x=17, y=3]
STEP: 192; EVENT: position;UNIT: 1; POSITION: Coordinate[x=18, y=3]
STEP: 193; EVENT: position;UNIT: 1; POSITION: Coordinate[x=19, y=3]
STEP: 194; EVENT: position;UNIT: 1; POSITION: Coordinate[x=19, y=2]
STEP: 195; EVENT: position;UNIT: 1; POSITION: Coordinate[x=20, y=2]
STEP: 196; EVENT: position;UNIT: 1; POSITION: Coordinate[x=21, y=2]
STEP: 197; EVENT: position;UNIT: 1; POSITION: Coordinate[x=22, y=2]
STEP: 198; EVENT: position;UNIT: 1; POSITION: Coordinate[x=22, y=1]
STEP: 199; EVENT: position;UNIT: 1; POSITION: Coordinate[x=23, y=1]
STEP: 200; EVENT: outcome; OUTCOME TIMEOUT
